query_id,best_hit,best_evalue,best_score,score_mean,score_std,score_gmean
sp|A0A0B4J1N3|GP15L_MOUSE,6ID1_q,11.0,26.14,nan,nan,nan
sp|A2A9I7|DMRTB_MOUSE,4YJ0_C,1e-12,81.87,77.58,6.07,77.33
sp|A2APB8|TPX2_MOUSE,6BJC_P,4.5e-129,1019.54,237.04,350.07,122.20
sp|B1AVH7|TBD2A_MOUSE,4P17_B,1.2e-34,249.83,195.54,21.74,194.38
sp|B2KG20|KLRI1_MOUSE,6C5V_C,2.4e-08,71.9,52.35,5.13,52.12
sp|B2RS91|RRN3_MOUSE,7OBA_O,2e-127,970.82,779.04,110.73,771.91
sp|B2RY83|HPSE2_MOUSE,5LA7_A,6.4e-30,226.95,110.18,36.52,105.51
sp|D3Z7A5|DAW1_MOUSE,5MZH_B,2.3e-57,350.91,224.04,20.85,223.17
sp|E9Q0N2|PTPRH_MOUSE,3PS5_A,8.1e-48,366.14,166.14,93.89,140.29
sp|E9Q309|CE350_MOUSE,6ZNL_Z,1.1e-06,110.83,98.26,8.90,97.87
sp|E9QAM5|HELZ2_MOUSE,2WJY_A,3.5e-54,494.97,242.14,115.23,214.68
sp|O08705|NTCP_MOUSE,4N7W_B,1.2e-25,186.14,178.42,8.33,178.22
sp|O35071|KIF1C_MOUSE,5MM7_K,8.9e-61,464.1,307.01,80.45,290.01
sp|O35347|DGCR6_MOUSE,6I2O_A,55.0,27.81,nan,nan,nan
sp|O35704|SPTC1_MOUSE,7K0M_E,3.2e-57,376.73,97.88,29.04,95.56
sp|O35887|CALU_MOUSE,1IJ5_A,2e-11,98.3,68.22,12.79,67.07
sp|O88430|CCL22_MOUSE,2RA4_A,9.8e-13,74.8,63.26,5.11,63.05
sp|O88502|PDE8A_MOUSE,4WZI_B,1.1e-50,420.93,354.97,32.59,353.49
sp|O89084|PDE4A_MOUSE,4WZI_B,2.8e-136,1058.42,431.40,107.74,422.51
sp|P01851|TCB2_MOUSE,6JXR_n,6.9e-12,81.58,58.21,6.42,57.87
sp|P04247|MYG_MOUSE,2G10_A,1.6e-17,104.12,74.77,10.81,74.00
sp|P07903|ERCC1_MOUSE,6SXA_G,2.4e-67,430.01,148.62,111.45,120.75
sp|P10493|NID1_MOUSE,1GL4_A,3.1e-52,402.68,139.51,78.74,121.51
sp|P11404|FABPH_MOUSE,1MDC_A,5.3e-28,148.71,134.49,5.54,134.38
sp|P12367|KAP2_MOUSE,3J4Q_C,1.4e-66,430.32,92.88,60.16,82.72
sp|P14602|HSPB1_MOUSE,6DV5_X,2.2e-25,163.92,73.24,22.29,70.79
sp|P26041|MOES_MOUSE,4RM9_A,1.4e-114,809.7,229.52,163.89,197.77
sp|P27048|RSMB_MOUSE,6ID1_b,8.1e-69,437.54,82.14,64.31,72.58
sp|P27601|GNA13_MOUSE,6NE6_A,2.3e-62,403.95,104.04,79.43,83.89
sp|P33215|NEDD1_MOUSE,7K58_E,4.1e-19,164.81,127.99,10.28,127.59
sp|P33609|DPOLA_MOUSE,5EXR_C,2.6e-185,1520.88,540.73,292.10,457.15
sp|P35173|CYT3_MOUSE,6QB2_A,1.1e-18,119.84,75.11,18.17,73.30
sp|P35419|PERT_MOUSE,5MFA_A,3.9e-112,866.9,550.50,188.49,494.57
sp|P36536|SAR1A_MOUSE,1F6B_A,1.7e-29,156.42,89.38,10.89,88.74
sp|P48774|GSTM5_MOUSE,4AKG_A,5.5e-15,147.85,90.45,13.09,89.58
sp|P50153|GBG4_MOUSE,7RYC_D,1e-18,106.57,76.92,10.40,76.28
sp|P53368|8ODP_MOUSE,3FK9_B,2.1e-19,120.17,66.77,9.71,66.18
sp|P56942|MCH_MOUSE,1DJ3_A,150.0,26.82,nan,nan,nan
sp|P58500|M3KCL_MOUSE,6QLF_O,3.0,36.75,nan,nan,nan
sp|P59913|PCMD1_MOUSE,1I1N_A,2.7e-12,97.12,67.76,9.91,67.10
sp|P70202|LXN_MOUSE,1WNH_A,3.2e-72,469.45,463.45,6.00,463.41
sp|P97799|NRSN1_MOUSE,2CLY_D,10.0,30.38,nan,nan,nan
sp|Q02788|CO6A2_MOUSE,3HR2_B,1.1e-29,266.02,90.57,37.93,85.78
sp|Q03958|PFD6_MOUSE,3AEI_B,6.4e-12,82.74,58.78,8.30,58.28
sp|Q0VGT2|GLI2_MOUSE,6QNX_C,1.2e-11,141.12,72.87,18.91,70.82
sp|Q14B02|RN133_MOUSE,3ICU_A,8.1e-17,127.38,84.92,20.78,82.74
sp|Q2TBA3|MALT1_MOUSE,6F7I_B,4.3e-65,475.76,94.32,29.72,92.72
sp|Q3U3N6|AP4AT_MOUSE,7DMF_A,1.3e-35,271.52,100.06,48.16,93.24
sp|Q3U5C8|ARHGG_MOUSE,7CSO_C,5.6e-52,352.26,162.21,50.54,154.80
sp|Q3UTS8|ISK13_MOUSE,1HDL_A,7.2e-07,49.76,49.76,0.00,49.76
sp|Q497K5|ARRD5_MOUSE,7JXA_A,3.9e-22,172.84,140.12,22.72,137.95
