query_id,best_hit,best_evalue,best_score,score_mean,score_std,score_gmean
sp|A2VDH3|LRC38_MOUSE,3WN4_A,3.7e-16,130.47,79.02,15.06,77.67
sp|E9Q6D6|ZN277_MOUSE,6LSR_0,6.5e-19,173.53,136.81,34.57,130.83
sp|P14246|GTR2_MOUSE,5C65_A,9.6e-43,281.08,134.62,34.76,131.34
sp|Q9CRT8|XPOT_MOUSE,3ICQ_T,1.9e-64,485.47,219.34,118.27,185.95
sp|Q9D6K5|SYJ2B_MOUSE,2XKX_B,1.9e-12,102.06,59.05,13.41,57.69
tr|A0A087WPH4|A0A087WPH4_MOUSE,2PI2_A,86.0,21.99,nan,nan,nan
tr|H3BJ88|H3BJ88_MOUSE,7DD7_A,5e-86,666.08,188.54,137.90,154.51
sp|P28828|PTPRM_MOUSE,1YGU_B,3.2e-77,573.4,192.37,130.29,154.54
sp|Q3TCJ1|ABRX2_MOUSE,6H3C_A,2.9e-125,895.95,460.62,196.79,430.89
sp|Q60948|MAD4_MOUSE,7F2F_B,0.28,37.01,nan,nan,nan
sp|Q7TQ95|LNP_MOUSE,7ABG_X,70.0,35.23,nan,nan,nan
sp|Q80VM7|ANR24_MOUSE,6PW5_D,2.1e-22,215.12,146.04,23.69,143.99
tr|E9Q6H8|E9Q6H8_MOUSE,4Y93_A,1.2e-10,111.29,67.54,15.85,65.95
sp|O35678|MGLL_MOUSE,6BQ0_B,1.9e-35,218.84,118.39,12.05,117.88
sp|O70258|SGCE_MOUSE,6SEQ_A,100.0,37.56,nan,nan,nan
sp|Q3UX62|ODAD1_MOUSE,7RRO_H3,6.1e-119,923.11,381.44,297.49,293.37
sp|Q8K396|MND1_MOUSE,4Y66_C,1.5e-39,239.19,201.42,37.77,197.85
tr|E9PXJ8|E9PXJ8_MOUSE,7DD7_A,1.9e-76,593.5,206.35,138.63,169.83
tr|Q8VEY6|Q8VEY6_MOUSE,7JOZ_R,1.9e-25,184.76,148.16,22.10,145.97
sp|J3QMI4|CAHM3_MOUSE,7DSD_B,2.9e-75,518.05,345.90,90.15,335.39
sp|P56389|CDD_MOUSE,2D30_B,6.8e-32,185.85,115.55,42.94,106.13
sp|Q80V53|CHSTE_MOUSE,4NDZ_A,8.9e-10,95.55,92.95,1.57,92.94
sp|Q8JZM6|TIFAB_MOUSE,4ZGI_A,1.9e-15,105.74,85.51,15.93,84.08
tr|A0A2I3BRW3|A0A2I3BRW3_MOUSE,7BVQ_B,9.9e-26,182.78,151.49,19.92,149.87
tr|Q8C7J6|Q8C7J6_MOUSE,6QB7_E,9.2e-43,287.26,105.34,73.84,87.84
