fasta_id,best_hit_id
sp|A0A0B4J1N3|GP15L_MOUSE,6ID1_q
sp|A2A9I7|DMRTB_MOUSE,4YJ0_C
sp|A2APB8|TPX2_MOUSE,6BJC_P
sp|B1AVH7|TBD2A_MOUSE,4P17_B
sp|B2KG20|KLRI1_MOUSE,6C5V_C
sp|B2RS91|RRN3_MOUSE,7OBA_O
sp|B2RY83|HPSE2_MOUSE,5LA7_A
sp|D3Z7A5|DAW1_MOUSE,5MZH_B
sp|E9Q0N2|PTPRH_MOUSE,3PS5_A
sp|E9Q309|CE350_MOUSE,6ZNL_Z
sp|E9QAM5|HELZ2_MOUSE,2WJY_A
sp|O08705|NTCP_MOUSE,4N7W_B
sp|O35071|KIF1C_MOUSE,5MM7_K
sp|O35347|DGCR6_MOUSE,6I2O_A
sp|O35704|SPTC1_MOUSE,7K0M_E
sp|O35887|CALU_MOUSE,1IJ5_A
sp|O88430|CCL22_MOUSE,2RA4_A
sp|O88502|PDE8A_MOUSE,4WZI_B
sp|O89084|PDE4A_MOUSE,4WZI_B
sp|P01851|TCB2_MOUSE,6JXR_n
sp|P04247|MYG_MOUSE,2G10_A
sp|P07903|ERCC1_MOUSE,6SXA_G
sp|P10493|NID1_MOUSE,1GL4_A
sp|P11404|FABPH_MOUSE,1MDC_A
sp|P12367|KAP2_MOUSE,3J4Q_C
sp|P14602|HSPB1_MOUSE,6DV5_X
sp|P26041|MOES_MOUSE,4RM9_A
sp|P27048|RSMB_MOUSE,6ID1_b
sp|P27601|GNA13_MOUSE,6NE6_A
sp|P33215|NEDD1_MOUSE,7K58_E
sp|P33609|DPOLA_MOUSE,5EXR_C
sp|P35173|CYT3_MOUSE,6QB2_A
sp|P35419|PERT_MOUSE,5MFA_A
sp|P36536|SAR1A_MOUSE,1F6B_A
sp|P48774|GSTM5_MOUSE,4AKG_A
sp|P50153|GBG4_MOUSE,7RYC_D
sp|P53368|8ODP_MOUSE,3FK9_B
sp|P56942|MCH_MOUSE,1DJ3_A
sp|P58500|M3KCL_MOUSE,6QLF_O
sp|P59913|PCMD1_MOUSE,1I1N_A
sp|P70202|LXN_MOUSE,1WNH_A
sp|P97799|NRSN1_MOUSE,2CLY_D
sp|Q02788|CO6A2_MOUSE,3HR2_B
sp|Q03958|PFD6_MOUSE,3AEI_B
sp|Q0VGT2|GLI2_MOUSE,6QNX_C
sp|Q14B02|RN133_MOUSE,3ICU_A
sp|Q2TBA3|MALT1_MOUSE,6F7I_B
sp|Q3U3N6|AP4AT_MOUSE,7DMF_A
sp|Q3U5C8|ARHGG_MOUSE,7CSO_C
sp|Q3UTS8|ISK13_MOUSE,1HDL_A
sp|Q497K5|ARRD5_MOUSE,7JXA_A
sp|Q499M4|TIGD5_MOUSE,1IUF_A
sp|Q5F267|P5I13_MOUSE,4BK5_C
sp|Q5G866|DFA23_MOUSE,6KRA_A
sp|Q5GIG6|TNI3K_MOUSE,4OAV_B
sp|Q61080|FOXF1_MOUSE,6FEC_w
sp|Q61083|M3K2_MOUSE,5NCL_A
sp|Q61220|NELL2_MOUSE,6POG_B
sp|Q61414|K1C15_MOUSE,3TNU_A
sp|Q61542|STAR3_MOUSE,1EM2_A
